338	85	208	4	(94,11),(143,7),(255,11),(338,17)
345	86	235	8	(94,20),(135,8),(239,11),(341,6),(388,18),(388,20),(583,16),(763,10)
351	87	201	9	(77,20),(214,7),(257,9),(391,18),(477,5),(637,17),(810,12),(903,20),(909,5)
351	88	59	10	(30,15),(32,11),(81,20),(82,11),(127,10),(162,19),(172,10),(193,7),(245,7),(292,8)
355	89	176	7	(155,9),(302,17),(478,11),(605,9),(654,9),(786,13),(951,11)
358	90	175	5	(98,16),(174,15),(327,20),(485,5),(486,12)
361	91	149	6	(56,9),(106,12),(206,14),(345,6),(487,10),(625,9)
365	92	223	8	(143,16),(300,18),(434,17),(573,17),(687,15),(858,6),(935,6),(1015,11)
370	93	179	6	(101,8),(212,13),(270,20),(418,7),(477,12),(556,19)
374	94	132	6	(54,8),(162,20),(183,11),(207,15),(239,13),(281,10)
376	95	260	6	(169,19),(336,5),(393,18),(438,5),(496,19),(506,8)
381	96	54	5	(40,18),(55,20),(55,9),(81,19),(126,14)
384	97	252	4	(215,19),(335,12),(587,10),(689,11)
391	98	95	3	(15,6),(91,20),(140,5)
395	99	267	1	(36,18)
400	100	242	3	(114,11),(345,12),(399,10)
401	101	210	9	(123,20),(312,17),(501,15),(600,11),(660,19),(703,8),(754,11),(895,13),(977,17)
408	102	157	8	(42,15),(79,8),(117,14),(206,17),(256,18),(317,16),(326,8),(383,9)
412	103	216	8	(181,11),(197,5),(268,17),(307,18),(523,12),(722,11),(908,14),(1057,20)
418	104	297	2	(229,16),(489,6)
420	105	133	1	(115,5)
424	106	109	6	(41,17),(87,12),(137,20),(228,14),(289,11),(396,10)
424	107	27	4	(8,19),(26,14),(35,15),(35,7)
428	108	31	7	(7,11),(10,14),(28,17),(30,14),(50,16),(56,11),(84,13)
435	109	70	7	(47,19),(76,13),(98,16),(162,5),(187,9),(257,17),(302,7)
436	110	202	8	(122,14),(258,16),(297,10),(387,7),(471,11),(502,11),(524,7),(564,11)
439	111	220	3	(88,18),(127,13),(148,10)
441	112	93	3	(11,8),(37,16),(102,15)
446	113	205	9	(17,17),(93,5),(171,14),(262,10),(310,17),(316,6),(461,16),(496,18),(510,8)
450	114	11	3	(10,19),(16,16),(22,17)
451	115	150	2	(1,10),(90,9)
457	116	276	8	(26,7),(99,9),(181,13),(453,19),(598,15),(598,18),(599,15),(752,18)
458	117	246	7	(110,12),(311,11),(546,16),(650,16),(711,8),(846,13),(958,14)
461	118	205	5	(151,15),(228,11),(249,18),(293,5),(392,18)
468	119	25	3	(20,10),(24,10),(28,11)
471	120	267	0	
471	121	169	6	(161,17),(221,14),(372,13),(372,16),(477,18),(616,7)
471	122	76	2	(74,12),(75,20)
478	123	280	0	
480	124	214	0	
483	125	234	2	(54,12),(283,14)
485	126	207	6	(17,14),(170,16),(342,10),(502,13),(599,8),(751,9)
487	127	138	1	(122,12)
491	128	297	8	(7,19),(17,17),(77,12),(270,13),(430,7),(620,11),(672,9),(747,15)
494	129	76	9	(28,6),(62,20),(71,19),(72,11),(108,7),(128,9),(155,15),(199,18),(243,16)
501	130	275	4	(204,13),(314,13),(554,8),(565,7)
508	131	84	0	
513	132	20	1	(13,5)
520	133	206	8	(106,5),(250,10),(437,16),(445,12),(549,17),(715,12),(882,11),(1083,17)
522	134	73	9	(8,19),(44,17),(97,11),(135,20),(147,16),(217,5),(249,13),(289,12),(310,16)
526	135	173	0	
527	136	10	8	(5,9),(6,6),(11,14),(13,14),(19,20),(24,7),(30,17),(40,16)
532	137	151	2	(51,10),(119,17)
539	138	54	5	(51,5),(83,14),(94,5),(132,16),(161,12)
541	139	37	8	(11,14),(39,17),(41,16),(77,11),(106,17),(139,13),(161,14),(163,12)
548	140	37	0	
555	141	132	10	(45,9),(77,6),(128,7),(194,14),(319,9),(435,8),(498,7),(556,17),(623,13),(739,7)
557	142	124	0	
563	143	137	6	(95,11),(113,10),(235,5),(263,8),(291,17),(376,5)
570	144	126	4	(71,14),(197,17),(284,11),(328,5)
577	145	246	1	(117,5)
581	146	225	7	(70,5),(225,16),(371,9),(539,10),(694,11),(837,20),(850,5)
587	147	57	10	(37,18),(56,12),(70,13),(91,18),(105,16),(119,11),(134,9),(151,10),(167,7),(198,10)
593	148	77	6	(42,12),(67,16),(116,20),(156,18),(157,8),(199,17)
596	149	41	7	(18,8),(45,9),(63,13),(98,20),(105,7),(127,15),(142,10)
598	150	135	8	(79,7),(161,12),(178,6),(241,7),(289,6),(336,17),(450,5),(558,16)
599	151	277	0	
605	152	29	1	(9,13)
608	153	35	7	(26,20),(36,6),(45,14),(58,6),(67,15),(92,11),(114,17)
608	154	136	0	
610	155	145	5	(98,15),(134,7),(279,11),(343,17),(359,18)
611	156	273	7	(188,12),(435,18),(521,8),(682,17),(736,20),(856,6),(994,11)
614	157	290	3	(174,20),(324,17),(469,15)
617	158	188	8	(27,6),(39,6),(179,6),(287,11),(448,15),(509,8),(537,6),(684,7)
622	159	142	10	(50,10),(154,7),(271,19),(411,10),(541,11),(614,14),(728,8),(789,11),(880,5),(1000,13)
623	160	254	8	(119,8),(316,18),(545,20),(580,14),(688,13),(821,18),(937,13),(1066,18)
625	161	151	3	(96,8),(135,5),(267,13)
630	162	126	8	(91,6),(127,11),(171,17),(206,5),(328,14),(334,20),(337,11),(351,9)
631	163	87	3	(68,20),(94,8),(174,7)
631	164	256	1	(12,14)
633	165	210	1	(87,20)
633	166	287	0	
640	167	205	4	(38,16),(171,20),(304,5),(417,8)
647	168	44	0	
651	169	293	4	(21,8),(106,6),(333,20),(425,6)
652	170	145	1	(108,18)
654	171	214	0	
660	172	80	2	(27,5),(48,8)
660	173	23	5	(9,19),(12,12),(16,12),(26,12),(34,16)
665	174	166	9	(0,15),(34,16),(36,11),(137,20),(249,15),(397,9),(397,8),(482,16),(511,8)
672	175	300	5	(67,16),(294,18),(329,17),(621,13),(907,7)
673	176	193	1	(185,5)
676	177	126	5	(21,11),(82,10),(121,7),(216,11),(285,11)
681	178	228	7	(203,17),(369,17),(375,7),(405,14),(409,10),(587,10),(610,9)
681	179	50	0	
682	180	236	7	(229,5),(378,17),(386,19),(469,17),(664,20),(820,20),(846,9)
688	181	102	2	(57,15),(99,5)
694	182	28	6	(5,13),(7,14),(15,5),(35,13),(60,15),(76,14)
697	183	86	4	(18,7),(76,8),(103,16),(137,13)
701	184	258	0	
708	185	98	8	(91,8),(110,18),(139,15),(140,6),(209,12),(218,20),(253,17),(263,12)
714	186	208	4	(11,12),(38,17),(141,6),(321,15)
714	187	65	8	(57,14),(95,6),(129,16),(138,10),(152,13),(163,14),(173,14),(232,8)
716	188	272	3	(18,18),(200,19),(255,18)
721	189	267	1	(211,20)
724	190	126	2	(29,14),(107,6)
725	191	285	3	(24,6),(133,11),(185,20)
729	192	202	9	(46,5),(189,14),(285,13),(351,19),(477,13),(620,8),(744,11),(898,7),(1097,5)
731	193	169	4	(148,14),(181,13),(230,11),(335,19)
738	194	293	5	(293,16),(572,18),(652,15),(678,6),(798,17)
741	195	57	10	(23,17),(43,12),(46,8),(48,5),(63,19),(120,8),(132,14),(172,12),(208,12),(225,10)
746	196	35	1	(20,17)
749	197	172	3	(67,7),(163,13),(210,7)
749	198	191	10	(124,17),(126,19),(137,9),(236,20),(278,17),(380,7),(442,16),(467,14),(636,10),(714,18)
751	199	222	4	(138,6),(214,10),(298,6),(503,8)
757	200	224	6	(191,19),(246,17),(308,16),(462,5),(606,8),(813,10)
SIGKILL TIMES
44	70
90	195
108	15
181	173
182	200
238	59
301	65
336	20
400	91
419	111
431	60
478	35
533	171
607	100
662	165
711	135
756	139
